listing_name,city,country,price_raw,property_type,guests,bedrooms,beds,baths,host_name,is_superhost,is_guest_favorite,rating,reviews,scrape_date,url
New 2BD/2BA Apt • Balcony • Prime & Quiet Location,Athens,Greece,,Entire rental unit,4.0,2.0,2.0,2.0,Olga,1,1,4.96,96199,2026-07-07,https://www.airbnb.com/rooms/1097073695230268036?search_mode=regular_search&adults=1&check_in=2026-07-12&check_out=2026-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P38UET6GGrX-OWZW&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
Acropolis Museum View • 2 BR Serene Boho Gem!,Athens,Greece,,Entire condo,5.0,2.0,3.0,1.0,AlexandraSuperhost,1,1,4.98,98319,2026-07-07,https://www.airbnb.com/rooms/841871321942180605?search_mode=regular_search&adults=1&check_in=2026-07-18&check_out=2026-07-23&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3H53sSf_HuuT52S&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
Luxury Apartment in heart of Athens-Blue Graphite,Athens,Greece,,Entire condo,4.0,2.0,2.0,2.5,,1,1,5.0,0118,2026-07-07,https://www.airbnb.com/rooms/1016589578971991975?search_mode=regular_search&adults=1&check_in=2026-08-14&check_out=2026-08-19&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3tKo8yDuRcs0tQf&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
Emerald 2 BDs Apartment with Balcony in Exarcheia,Athens,Greece,,Entire rental unit,5.0,2.0,3.0,1.0,GiannisSuperhost,1,1,5.0,023,2026-07-07,https://www.airbnb.com/rooms/1638363160286453525?search_mode=regular_search&adults=1&check_in=2026-07-09&check_out=2026-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3bDg7wqhpgbbX1M&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
Acropolis area minimal residence,Athens,Greece,,Entire rental unit,10.0,3.0,6.0,5.0,Yannis,1,1,5.0,06,2026-07-07,https://www.airbnb.com/rooms/1685357731899902823?search_mode=regular_search&adults=1&check_in=2026-07-11&check_out=2026-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3dQ2JCpzuix0WOI&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
Unique Koukaki Three Bedroom,Athens,Greece,,Entire rental unit,5.0,3.0,,1.0,UniqueSuperhost,1,1,4.93,93148,2026-07-07,https://www.airbnb.com/rooms/1153401936359103141?search_mode=regular_search&adults=1&check_in=2026-11-11&check_out=2026-11-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3tV5xZeX8dFUuvm&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
Athens Modern gorgeous apartment-1,Athens,Greece,,Entire rental unit,4.0,2.0,3.0,1.0,LucySuperhost,1,1,4.96,9670,2026-07-07,https://www.airbnb.com/rooms/1337710307494499497?search_mode=regular_search&adults=1&check_in=2026-11-10&check_out=2026-11-15&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3VUEM3EItaD9zef&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
Polis luxury apartment 2,Athens,Greece,,Entire condo,5.0,2.0,2.0,1.0,SpirosSuperhost,1,1,4.97,97251,2026-07-07,https://www.airbnb.com/rooms/616188663046111934?search_mode=regular_search&adults=1&check_in=2026-07-15&check_out=2026-07-20&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3URz4ksn1L8aUwd&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
Acropolis View Penthouse with Panoramic Terrace,Athens,Greece,,Entire rental unit,4.0,2.0,3.0,2.0,Stefan,1,0,4.82,242,2026-07-07,https://www.airbnb.com/rooms/50870387?search_mode=regular_search&adults=1&check_in=2026-08-18&check_out=2026-08-23&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3qWPS2cvxbntyLB&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
Prime Acropolis Views • 2 BR Bright Excellence •,Athens,Greece,,Entire condo,4.0,2.0,3.0,1.0,AlexandraSuperhost,1,1,4.97,9739,2026-07-07,https://www.airbnb.com/rooms/1582825861422427745?search_mode=regular_search&adults=1&check_in=2026-07-20&check_out=2026-07-25&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3mEpcGup6UbHPKg&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
AinCAC Apartment Athens center,Athens,Greece,,Entire rental unit,5.0,3.0,4.0,1.0,,1,1,4.98,9845,2026-07-07,https://www.airbnb.com/rooms/1016549429473993117?search_mode=regular_search&adults=1&check_in=2026-10-17&check_out=2026-10-22&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3cOQqkkc286VA1I&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
"** Bright Acropolis area apt, dream balcony **",Athens,Greece,,Entire condo,6.0,2.0,3.0,2.0,Yannis And TaxSuperhost,1,1,4.95,95375,2026-07-07,https://www.airbnb.com/rooms/39198490?search_mode=regular_search&adults=1&check_in=2026-08-06&check_out=2026-08-11&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3liC8LxWJmbaany&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
Luxury 2BR Acropolis View • 1 Min Walk from Metro,Athens,Greece,,Entire rental unit,4.0,2.0,2.0,1.0,Olga,1,1,4.96,96166,2026-07-07,https://www.airbnb.com/rooms/1303069546077874772?search_mode=regular_search&adults=1&check_in=2026-07-21&check_out=2026-07-26&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3Y6IbMnJ_9fzvnW&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
Acropolis • Stylish Peaceful 2 BR Cozy Retreat !,Athens,Greece,,Entire condo,5.0,2.0,3.0,1.0,AlexandraSuperhost,1,1,4.99,99196,2026-07-07,https://www.airbnb.com/rooms/1110329683939001961?search_mode=regular_search&adults=1&check_in=2026-08-04&check_out=2026-08-09&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P34-bzwyTKzcGwGz&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
Luxury Apartment near Acropolis-Living Stone Gold,Athens,Greece,,Entire rental unit,4.0,2.0,2.0,1.5,,1,1,4.91,91191,2026-07-07,https://www.airbnb.com/rooms/804761393391267377?search_mode=regular_search&adults=1&check_in=2026-08-01&check_out=2026-08-06&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3Adn42wisaqveTO&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
Modern 2 bed/2 bath Acropolis view flat,Athens,Greece,,Entire rental unit,6.0,2.0,2.0,2.0,DionysisSuperhost,1,1,4.96,96388,2026-07-07,https://www.airbnb.com/rooms/45622121?search_mode=regular_search&adults=1&check_in=2026-10-13&check_out=2026-10-18&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3-qiVWuvEUWB4v3&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
Beautiful Spacious Luxury Apartment Central Athens,Athens,Greece,€46,Entire condo,6.0,2.0,4.0,2.0,ConstantineSuperhost,1,1,4.98,98330,2026-07-07,https://www.airbnb.com/rooms/22510354?search_mode=regular_search&adults=1&check_in=2026-08-07&check_out=2026-08-12&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P35NsMZnpiQGf-Ka&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
