listing_name,city,country,price_raw,property_type,guests,bedrooms,beds,baths,host_name,is_superhost,is_guest_favorite,rating,reviews,scrape_date,url
*Spotless Sanctuary* - *Fully Renovated June ‘26*,Athens,Greece,,Entire rental unit,6.0,2.0,,2.0,KariofyllisSuperhost,1,1,5.0,06,2026-07-07,https://www.airbnb.com/rooms/1703386447868254699?search_mode=regular_search&adults=1&check_in=2026-07-27&check_out=2026-08-01&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3DiDNOS6c_36biV&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
A wonderful Acropolis apartment next to the metro,Athens,Greece,,Entire rental unit,8.0,3.0,5.0,2.0,SotirisSuperhost,1,1,4.85,85527,2026-07-07,https://www.airbnb.com/rooms/20335046?search_mode=regular_search&adults=1&check_in=2026-11-29&check_out=2026-12-04&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3BKqjCbPHdZpKIg&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
Stunning Acropolis Views • 2 BR Bright Residence •,Athens,Greece,,Entire condo,4.0,2.0,3.0,1.0,AlexandraSuperhost,1,1,4.99,99247,2026-07-07,https://www.airbnb.com/rooms/1000007051406614334?search_mode=regular_search&adults=1&check_in=2026-08-25&check_out=2026-08-30&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3q1O_8qeN5DyFlw&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
Polis luxury apartments 4,Athens,Greece,,Entire condo,5.0,2.0,2.0,1.0,SpirosSuperhost,1,1,4.94,94144,2026-07-07,https://www.airbnb.com/rooms/825138042352843258?search_mode=regular_search&adults=1&check_in=2026-07-22&check_out=2026-07-27&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3AoHB00hvAUDSbz&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
"Spacious Family Friendly 2BR/2BA, Central Location",Athens,Greece,€100,Entire rental unit,6.0,2.0,3.0,2.0,RenataSuperhost,1,1,4.99,9972,2026-07-07,https://www.airbnb.com/rooms/1326842522619262028?search_mode=regular_search&adults=1&check_in=2026-07-24&check_out=2026-07-29&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3KfERs1yvMPF7je&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
A boutique apartment at Acropolis next to metro,Athens,Greece,,Entire rental unit,8.0,2.0,3.0,2.0,MariosSuperhost,1,1,4.91,91490,2026-07-07,https://www.airbnb.com/rooms/22877437?search_mode=regular_search&adults=1&check_in=2026-07-24&check_out=2026-07-29&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3JACI6qMFADeLnh&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
"Modern Cozy Gem, 2BR Historic Athens at Your Door!",Athens,Greece,€200,Entire rental unit,4.0,2.0,2.0,1.0,RenataSuperhost,1,1,4.99,9987,2026-07-07,https://www.airbnb.com/rooms/1390676740091253715?search_mode=regular_search&adults=1&check_in=2026-08-20&check_out=2026-08-25&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3sPDearIcU3-hi0&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
Neoclassical 2BR • Balcony View • Walk to Metro,Athens,Greece,,Entire condo,6.0,2.0,3.0,1.0,Olga,1,1,4.91,9144,2026-07-07,https://www.airbnb.com/rooms/1591153203375417835?search_mode=regular_search&adults=1&check_in=2026-07-11&check_out=2026-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3DC4vO3oFRdK-7u&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
2BR Luxurious Apt in Mets 20' From Acropolis,Athens,Greece,,Entire rental unit,5.0,2.0,3.0,1.0,LiroySuperhost,1,1,5.0,026,2026-07-07,https://www.airbnb.com/rooms/1512282874936268682?search_mode=regular_search&adults=1&check_in=2026-07-12&check_out=2026-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3UbUP0DMp5cJFYw&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
Athenian House Beside The Acropolis,Athens,Greece,,Entire home,9.0,4.0,5.0,3.0,VersaweissSuperhost,1,1,4.9,9563,2026-07-07,https://www.airbnb.com/rooms/36440918?search_mode=regular_search&adults=1&check_in=2026-11-16&check_out=2026-11-21&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P30b-W1r0KDyRRyH&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
"Deluxe Stylish 2 Bedroom Condo, Hip Central Athens",Athens,Greece,€40,Entire condo,6.0,2.0,4.0,1.0,ConstantineSuperhost,1,1,4.98,98316,2026-07-07,https://www.airbnb.com/rooms/22510011?search_mode=regular_search&adults=1&check_in=2026-07-23&check_out=2026-07-28&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3r86Be-Y-64lhYr&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
Unique cozy/Elegant Apartment!10' from Acropolis!,Athens,Greece,,Entire rental unit,4.0,2.0,2.0,1.0,KostasSuperhost,1,1,4.98,98413,2026-07-07,https://www.airbnb.com/rooms/35863521?search_mode=regular_search&adults=1&check_in=2026-07-12&check_out=2026-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3ehphZZA358pFFj&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
Athenaeum Luxury Downtown Penthouse,Athens,Greece,,Entire rental unit,5.0,2.0,4.0,2.0,Mira And Oleg,1,0,4.89,102,2026-07-07,https://www.airbnb.com/rooms/1055756193648378804?search_mode=regular_search&adults=1&check_in=2026-07-22&check_out=2026-07-27&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3hkPbGkgaw0-Osa&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
Stylish 2BR Apartment with Balcony in Exarcheia,Athens,Greece,,Entire rental unit,5.0,2.0,3.0,1.0,GiannisSuperhost,1,1,4.94,9436,2026-07-07,https://www.airbnb.com/rooms/1639106096903978041?search_mode=regular_search&adults=1&check_in=2026-07-12&check_out=2026-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3eHU44v-k6ypmaz&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
Classy 2 BD Downtown Apartment,Athens,Greece,,Entire rental unit,5.0,2.0,4.0,2.0,Ira,1,0,4.84,116,2026-07-07,https://www.airbnb.com/rooms/36014743?search_mode=regular_search&adults=1&check_in=2026-07-13&check_out=2026-07-18&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3juTNzItfCd4FFC&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
Callirhoē Luxury 2BD Acropolis Apartment,Athens,Greece,,Entire condo,5.0,2.0,3.0,1.0,Mira And Oleg,1,1,4.8,876,2026-07-07,https://www.airbnb.com/rooms/851919070987990407?search_mode=regular_search&adults=1&check_in=2026-08-31&check_out=2026-09-05&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3KbhS6fLsPCKG6_&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
Bright & Luxurious 3BR Suite | Metro | By Museum,Athens,Greece,,Entire rental unit,5.0,3.0,3.0,3.0,Paris,1,1,5.0,05,2026-07-07,https://www.airbnb.com/rooms/1670291270450862944?search_mode=regular_search&adults=1&check_in=2026-07-14&check_out=2026-07-19&children=0&infants=0&pets=0&source_impression_id=p3_1783432629_P3PSDpVb7vrMLK3N&previous_page_section_name=1000&federated_search_id=2bf0e370-5b81-4a38-86f8-e247cdb4e795
A42 Renov'25. 8' Acropolis Museum-Heart of Koukaki,Athens,Greece,,Entire rental unit,6.0,2.0,2.0,2.0,PanosSuperhost,1,1,4.95,9540,2026-07-07,https://www.airbnb.com/rooms/1399055658207052986?search_mode=regular_search&adults=1&check_in=2026-07-07&check_out=2026-07-12&children=0&infants=0&pets=0&source_impression_id=p3_1783432722_P33PqKg8GfeHcXdW&previous_page_section_name=1000&federated_search_id=ae72de46-fecc-4bba-8108-60decb789960
Elegant Acropolis Sky Flat | 2BR2B | Stunning View,Athens,Greece,,Entire rental unit,4.0,2.0,2.0,2.0,EleniSuperhost,1,1,4.93,9395,2026-07-07,https://www.airbnb.com/rooms/1170787394670193817?search_mode=regular_search&adults=1&check_in=2026-08-02&check_out=2026-08-07&children=0&infants=0&pets=0&source_impression_id=p3_1783432722_P3uYzjwHw5-qtfbq&previous_page_section_name=1000&federated_search_id=ae72de46-fecc-4bba-8108-60decb789960
Elegant Suite Syntagma 2 bedrooms 2 bathrooms,Athens,Greece,,Entire rental unit,4.0,2.0,2.0,2.0,IoannisSuperhost,1,1,4.95,9585,2026-07-07,https://www.airbnb.com/rooms/1374083056910988248?search_mode=regular_search&adults=1&check_in=2026-09-01&check_out=2026-09-06&children=0&infants=0&pets=0&source_impression_id=p3_1783432722_P3vp9_h1Et6kB3qS&previous_page_section_name=1000&federated_search_id=ae72de46-fecc-4bba-8108-60decb789960
Exclusive Syntagma & Plaka 2BD Townhouse,Athens,Greece,,Entire home,4.0,2.0,2.0,1.5,VasileiosNew HostListing highl,1,0,5.0,3,2026-07-07,https://www.airbnb.com/rooms/1700805732025091730?search_mode=regular_search&adults=1&check_in=2026-07-11&check_out=2026-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432722_P3xmDaOYDqcO25Ty&previous_page_section_name=1000&federated_search_id=ae72de46-fecc-4bba-8108-60decb789960
2 Bedrooms Apartment,Barcelona,Spain,€6.25,Entire rental unit,4.0,2.0,3.0,1.0,CarlosSuperhost,1,1,4.9,243,2026-07-07,https://www.airbnb.com/rooms/1110775765657684157?search_mode=regular_search&adults=1&check_in=2026-07-29&check_out=2026-08-03&children=0&infants=0&pets=0&source_impression_id=p3_1783432752_P3pGTk-jL8BF2amg&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
"Cozy apartments Plaza España, 3 bedrooms",Barcelona,Spain,€30,Entire serviced apartment,5.0,3.0,4.0,1.5,Arrivo Apartments,1,1,4.73,785,2026-07-07,https://www.airbnb.com/rooms/846093318788581404?search_mode=regular_search&adults=1&check_in=2026-07-11&check_out=2026-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3r44e01I0lIVDTS&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
4 beds Condo at Eixample,Barcelona,Spain,,Entire rental unit,7.0,4.0,4.0,2.0,AnatoliiNew HostListing highli,1,0,,,2026-07-07,https://www.airbnb.com/rooms/1722503654969719526?search_mode=regular_search&adults=1&check_in=2026-07-09&check_out=2026-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3JMZSZusf3GUMro&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
Spacious & Trendy Apartment near Sagrada Familia,Barcelona,Spain,€30,Entire serviced apartment,1.0,1.0,4.0,2.0,EricSuperhost,1,1,4.87,019,2026-07-07,https://www.airbnb.com/rooms/30760852?search_mode=regular_search&adults=1&check_in=2026-08-11&check_out=2026-08-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3OTri6GDJWpLPyv&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
In the heart of the Gracia neighborhood,Barcelona,Spain,€9.50,Entire rental unit,4.0,2.0,3.0,1.0,MiriamSuperhost,1,1,4.79,221,2026-07-07,https://www.airbnb.com/rooms/33816957?search_mode=regular_search&adults=1&check_in=2026-11-30&check_out=2026-12-06&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3pwrk8TgpT7Op6K&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
Two Bedroom Apartment next to Sagrada Familia,Barcelona,Spain,€13.90,Entire serviced apartment,4.0,2.0,3.0,1.0,Apart,1,1,4.85,481,2026-07-07,https://www.airbnb.com/rooms/26940439?search_mode=regular_search&adults=1&check_in=2026-07-26&check_out=2026-07-31&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3MheRgzwP6k_XNY&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
Design and comfort very close to Sagrada Familia,Barcelona,Spain,€500,Entire rental unit,6.0,3.0,4.0,2.0,AlejandroSuperhost,1,1,4.93,9360,2026-07-07,https://www.airbnb.com/rooms/1456471243797269714?search_mode=regular_search&adults=1&check_in=2026-07-20&check_out=2026-07-25&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3UoWRnIPzSHeXCT&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
Bright apartment with balcony near to Eixample,Barcelona,Spain,,Entire rental unit,6.0,3.0,5.0,2.0,The Corner By AspasiosSuperhos,1,1,4.82,82437,2026-07-07,https://www.airbnb.com/rooms/27643977?search_mode=regular_search&adults=1&check_in=2026-07-27&check_out=2026-08-01&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3H_IiO7GgARQf3T&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
Nordic-Designed Apartment near Sagrada Familia,Barcelona,Spain,€30,Entire serviced apartment,1.0,2.0,4.0,2.0,EricSuperhost,1,0,4.83,283,2026-07-07,https://www.airbnb.com/rooms/30759793?search_mode=regular_search&adults=1&check_in=2026-07-29&check_out=2026-08-03&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P39GFPCFkMLuIcnB&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
12mal1146 - Fantastic Apartment,Barcelona,Spain,,Entire rental unit,5.0,2.0,3.0,2.0,Mercantil BresciaSuperhost,1,1,5.0,07,2026-07-07,https://www.airbnb.com/rooms/1103565769428992702?search_mode=regular_search&adults=1&check_in=2026-08-30&check_out=2026-09-04&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3BjbN2kGh5Lyags&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
Amazing 2-bedroom apartment Sagrada Familia,Barcelona,Spain,,Entire serviced apartment,4.0,2.0,3.0,1.0,Sensation ApartmentsSuperhost,1,1,4.87,87312,2026-07-07,https://www.airbnb.com/rooms/46409602?search_mode=regular_search&adults=1&check_in=2026-07-12&check_out=2026-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3SRxLl90j9-8qnf&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
A designer duplex in the city center,Barcelona,Spain,€9.50,Entire rental unit,4.0,2.0,2.0,2.0,DanielSuperhost,1,0,4.86,198,2026-07-07,https://www.airbnb.com/rooms/656117489866704375?search_mode=regular_search&adults=1&check_in=2026-11-01&check_out=2026-11-06&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3emqoXxEgbBZ1tB&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
IRLES EIXAMPLE,Barcelona,Spain,,Entire rental unit,4.0,2.0,2.0,2.0,Jose LuisSuperhost,1,1,4.99,99467,2026-07-07,https://www.airbnb.com/rooms/17021004?search_mode=regular_search&adults=1&check_in=2026-11-03&check_out=2026-11-08&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3Ov9pDY4eET8A5f&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
Cozy 2-bedroom apartment with garden and pool,Barcelona,Spain,€5,Entire rental unit,4.0,2.0,2.0,2.0,Aspasios City OasisSuperhost,1,1,4.8,8563,2026-07-07,https://www.airbnb.com/rooms/898276757093957812?search_mode=regular_search&adults=1&check_in=2026-07-29&check_out=2026-08-03&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3RX4vb7Vs4Q0MKl&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
"Luxury 4-bedroom 3-bathroom, rooftop pool",Barcelona,Spain,,Entire serviced apartment,8.0,4.0,6.0,3.0,Casagrand Luxury Suites Barcel,1,1,4.92,92830,2026-07-07,https://www.airbnb.com/rooms/19028982?search_mode=regular_search&adults=1&check_in=2026-08-01&check_out=2026-08-06&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3Sn5mK9Fz_1BAdL&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
Heritage Building - Terrace 1,Barcelona,Spain,"€9,50",Entire rental unit,4.0,2.0,3.0,2.0,CarlesSuperhost,1,1,4.98,98193,2026-07-07,https://www.airbnb.com/rooms/48818432?search_mode=regular_search&adults=1&check_in=2026-07-11&check_out=2026-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3CRvQF4G_lPDuAz&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
"3 bedrooms, bright, elegant, Sagrada Familia, AC",Barcelona,Spain,,Entire serviced apartment,5.0,3.0,5.0,2.0,Aspasios ApartmentsSuperhost,1,0,New,2,2026-07-07,https://www.airbnb.com/rooms/1684094795418458585?search_mode=regular_search&adults=1&check_in=2026-07-28&check_out=2026-08-02&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3fBMA86hksUjdgr&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
Sweett | Rocafort 101,Barcelona,Spain,10.45 EUR,Entire rental unit,8.0,4.0,6.0,2.0,Sweett,1,0,,,2026-07-07,https://www.airbnb.com/rooms/1710045566549404199?search_mode=regular_search&adults=1&check_in=2026-09-13&check_out=2026-09-18&children=0&infants=0&pets=0&source_impression_id=p3_1783432753_P3PclveTUtDNMy75&previous_page_section_name=1000&federated_search_id=1ce4ecdd-e97b-4ed2-88d5-73912a4c8b8f
Living in the ♥ of Barcelona!,Barcelona,Spain,,Entire rental unit,4.0,2.0,3.0,2.0,Casa Valeta,1,1,4.99,99201,2026-07-07,https://www.airbnb.com/rooms/39940188?search_mode=regular_search&adults=1&check_in=2026-08-21&check_out=2026-08-26&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3iSnou-6s4DZNn0&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
Sweett | Bailen 504,Barcelona,Spain,10.45 EUR,Entire rental unit,4.0,2.0,2.0,2.0,Sweett,1,0,,,2026-07-07,https://www.airbnb.com/rooms/1710038969206070925?search_mode=regular_search&adults=1&check_in=2026-07-27&check_out=2026-08-01&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3XcvjxSYBpjvRli&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
Apartment with a view of the Arc de Triomphe,Barcelona,Spain,,Entire rental unit,4.0,2.0,2.0,2.0,Aspasios Arc De TriomfSuperhos,1,0,4.81,383,2026-07-07,https://www.airbnb.com/rooms/1207748775116221902?search_mode=regular_search&adults=1&check_in=2026-07-27&check_out=2026-08-01&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3fWGpLeQbEV9uUh&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
Modern and spacious apartment near to Eixample,Barcelona,Spain,,Entire rental unit,6.0,3.0,5.0,2.0,The Corner By AspasiosSuperhos,1,1,4.84,84527,2026-07-07,https://www.airbnb.com/rooms/27643962?search_mode=regular_search&adults=1&check_in=2026-08-14&check_out=2026-08-19&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3LelwEapAQRiJu9&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
"Elegant, recently renovated, trendy Bcn area",Barcelona,Spain,,Entire serviced apartment,5.0,3.0,4.0,2.0,Aspasios ApartmentsSuperhost,1,1,4.93,158,2026-07-07,https://www.airbnb.com/rooms/54158916?search_mode=regular_search&adults=1&check_in=2026-07-18&check_out=2026-07-23&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P38DdRSOasJmpU5v&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
Stay tuned,Barcelona,Spain,,,,,,,,0,0,,,2026-07-07,https://www.airbnb.com/rooms/1169191?search_mode=regular_search&adults=1&check_in=2026-10-28&check_out=2026-11-02&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P30js5TRwYwBmdJV&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
"Bright, fun, balcony, near the Sagrada Familia",Barcelona,Spain,€5,Entire serviced apartment,4.0,2.0,3.0,2.0,Aspasios BarcelonaSuperhost,1,1,4.91,91889,2026-07-07,https://www.airbnb.com/rooms/16592830?search_mode=regular_search&adults=1&check_in=2026-07-27&check_out=2026-08-01&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3_8pNMb5IpEZEv4&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
Luxury Apartment in the city center,Barcelona,Spain,,Entire rental unit,6.0,3.0,4.0,1.0,FlorSuperhost,1,1,4.9,016,2026-07-07,https://www.airbnb.com/rooms/3144104?search_mode=regular_search&adults=1&check_in=2026-09-13&check_out=2026-09-18&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3BcD4wY6c03qEgs&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
Our house: Architects' flat.,Barcelona,Spain,,Entire rental unit,4.0,2.0,2.0,1.0,SeanSuperhost,1,1,4.97,97578,2026-07-07,https://www.airbnb.com/rooms/959089?search_mode=regular_search&adults=1&check_in=2026-08-23&check_out=2026-08-28&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3MzPxzCs0i8Jtba&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
Dream sunsets and pure design in the center,Barcelona,Spain,€500,Entire condo,6.0,4.0,5.0,2.0,AlejandroSuperhost,1,0,4.82,669,2026-07-07,https://www.airbnb.com/rooms/1882719?search_mode=regular_search&adults=1&check_in=2026-07-28&check_out=2026-08-02&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3HOgkKBxFKckY06&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
"Eixample Apartment: Sun Deck, Pool, and Stylish Design",Barcelona,Spain,,Entire rental unit,6.0,2.0,2.0,2.0,MidtownSuperhost,1,0,5.0,3,2026-07-07,https://www.airbnb.com/rooms/1660200465619707342?search_mode=regular_search&adults=1&check_in=2026-08-06&check_out=2026-08-11&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3CDZUkYAAHvTWcd&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
13MAL1077-Magnific 2br&2bh flat in Sagrada Familia,Barcelona,Spain,€10,Entire rental unit,5.0,2.0,2.0,2.0,Mercantil BresciaSuperhost,1,0,4.79,151,2026-07-07,https://www.airbnb.com/rooms/1103576850253594894?search_mode=regular_search&adults=1&check_in=2026-12-11&check_out=2026-12-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3tES21_5dIk5yC8&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
Serennia Arc de Triomf 2 bedroom,Barcelona,Spain,€6.88,Entire serviced apartment,4.0,2.0,4.0,1.0,Eva,1,0,4.62,782,2026-07-07,https://www.airbnb.com/rooms/11862028?search_mode=regular_search&adults=1&check_in=2026-07-19&check_out=2026-07-24&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P33E3QWSCn3tdPRp&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
Sweett | Gran Via 202,Barcelona,Spain,10.45 EUR,Entire rental unit,2.0,2.0,3.0,2.0,Sweett,1,0,4.86,64,2026-07-07,https://www.airbnb.com/rooms/1257767643344156162?search_mode=regular_search&adults=1&check_in=2026-07-10&check_out=2026-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3ZBCcylyhvCYrlx&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
"Centrally located, modern with 2 bathrooms, central AC",Barcelona,Spain,€9.50,Entire rental unit,6.0,2.0,8.0,2.0,YitongSuperhost,1,1,4.97,9761,2026-07-07,https://www.airbnb.com/rooms/1399855656798030757?search_mode=regular_search&adults=1&check_in=2026-07-15&check_out=2026-07-20&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3mfNukxlhxP7H3w&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
"Elegant, bright, central, close to Sagrada Familia",Barcelona,Spain,€5,Entire serviced apartment,3.0,2.0,3.0,2.0,Aspasios BarcelonaSuperhost,1,1,4.92,92492,2026-07-07,https://www.airbnb.com/rooms/16462603?search_mode=regular_search&adults=1&check_in=2026-08-10&check_out=2026-08-15&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3lFh1sHgVOevhFD&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
"Cozy, stylish, quiet, Paseo de Gracia, air conditioning",Barcelona,Spain,,Entire rental unit,4.0,3.0,3.0,1.0,AmandaSuperhost,1,1,4.96,96296,2026-07-07,https://www.airbnb.com/rooms/50799401?search_mode=regular_search&adults=1&check_in=2026-08-24&check_out=2026-08-29&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3MNVgh_BpU3BXcg&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
Exclusive & Classy flat 2 min from Paseo de Gracia,Barcelona,Spain,€10,Entire rental unit,5.0,2.0,2.0,2.0,Eli,1,1,4.86,86239,2026-07-07,https://www.airbnb.com/rooms/24520554?search_mode=regular_search&adults=1&check_in=2026-08-20&check_out=2026-08-25&children=0&infants=0&pets=0&source_impression_id=p3_1783432856_P3Up4h5-j1IgXgNg&previous_page_section_name=1000&federated_search_id=8cc5582b-1e33-44ed-ad26-9115b4ebe367
Luminous Oasis with views of Sagrada Familia,Barcelona,Spain,€500,Entire rental unit,6.0,3.0,4.0,1.0,AlejandroSuperhost,1,1,4.93,93157,2026-07-07,https://www.airbnb.com/rooms/937447130141428110?search_mode=regular_search&adults=1&check_in=2026-07-12&check_out=2026-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1783432958_P3ctvnJRYMRz6F_-&previous_page_section_name=1000&federated_search_id=c7d27d83-da49-4269-83b4-76da48680bb0
STYLISH 4 BEDROOM APARTMENT IN THE CITY CENTRE,Barcelona,Spain,€9.50,Entire rental unit,5.0,4.0,4.0,2.0,RitaSuperhost,1,1,4.89,89357,2026-07-07,https://www.airbnb.com/rooms/27147771?search_mode=regular_search&adults=1&check_in=2026-08-17&check_out=2026-08-22&children=0&infants=0&pets=0&source_impression_id=p3_1783432958_P3FfGyqCNDZu8nEx&previous_page_section_name=1000&federated_search_id=c7d27d83-da49-4269-83b4-76da48680bb0
